Operation,Comparisons
1,0
2,0
3,0
4,2
5,0
6,4
7,0
8,2
9,0
10,6
11,0
12,2
13,0
14,4
15,0
16,2
17,0
18,8
19,0
20,2
21,0
22,4
23,0
24,2
25,0
26,6
27,0
28,2
29,0
30,4
31,0
32,2
33,0
34,10
35,0
36,2
37,0
38,4
39,0
40,2
41,0
42,6
43,0
44,2
45,0
46,4
47,0
48,2
49,0
50,8
51,0
52,2
53,0
54,4
55,0
56,2
57,0
58,6
59,0
60,2
61,0
62,4
63,0
64,2
65,0
66,12
67,0
68,2
69,0
70,4
71,0
72,2
73,0
74,6
75,0
76,2
77,0
78,4
79,0
80,2
81,0
82,8
83,0
84,2
85,0
86,4
87,0
88,2
89,0
90,6
91,0
92,2
93,0
94,4
95,0
96,2
97,0
98,10
99,0
100,2
101,0
102,4
103,0
104,2
105,0
106,6
107,0
108,2
109,0
110,4
111,0
112,2
113,0
114,8
115,0
116,2
117,0
118,4
119,0
120,2
121,0
122,6
123,0
124,2
125,0
126,4
127,0
128,2
129,0
130,14
131,0
132,2
133,0
134,4
135,0
136,2
137,0
138,6
139,0
140,2
141,0
142,4
143,0
144,2
145,0
146,8
147,0
148,2
149,0
150,4
151,0
152,2
153,0
154,6
155,0
156,2
157,0
158,4
159,0
160,2
161,0
162,10
163,0
164,2
165,0
166,4
167,0
168,2
169,0
170,6
171,0
172,2
173,0
174,4
175,0
176,2
177,0
178,8
179,0
180,2
181,0
182,4
183,0
184,2
185,0
186,6
187,0
188,2
189,0
190,4
191,0
192,2
193,0
194,12
195,0
196,2
197,0
198,4
199,0
200,2
201,0
202,6
203,0
204,2
205,0
206,4
207,0
208,2
209,0
210,8
211,0
212,2
213,0
214,4
215,0
216,2
217,0
218,6
219,0
220,2
221,0
222,4
223,0
224,2
225,0
226,10
227,0
228,2
229,0
230,4
231,0
232,2
233,0
234,6
235,0
236,2
237,0
238,4
239,0
240,2
241,0
242,8
243,0
244,2
245,0
246,4
247,0
248,2
249,0
250,6
251,0
252,2
253,0
254,4
255,0
256,2
257,0
258,16
259,0
260,2
261,0
262,4
263,0
264,2
265,0
266,6
267,0
268,2
269,0
270,4
271,0
272,2
273,0
274,8
275,0
276,2
277,0
278,4
279,0
